snp chr pos maf n_HDL beta_HDL se_HDL n_LDL beta_LDL se_LDL n_TC beta_TC se_TC n_TG beta_TG se_TG annot gene rs Z.tg Z.tc Z.ldl Z.hdl mvstat mvp unip
rs1000237 19 19379316 0.351 98409 3.778e-05 0.004914 93999 -0.02084 0.005358 98656 -0.02795 0.005268 95070 -0.02257 0.004812 2 CILP2_TC:TG:LDL rs1000237 -4.93 -5.147 -3.534 -0.194 39.4848760035328 7.25717208280597 6.577270133528
rs1000410 20 39067780 0.441 98379 0.002626 0.004623 93969 0.02923 0.005011 98627 0.02606 0.004927 95040 0.001011 0.004523 2 MAFB_TC:LDL rs1000410 -0.439 -5.152 -5.545 -0.719 32.5778167161626 5.83641544386499 7.53172037340104
rs10004269 4 88416523 0.373 99900 0.009714 0.004759 95454 -0.00366 0.005158 100184 -0.0102 0.005075 96598 -0.0254 0.004658 2 KLHL8_TG rs10004269 5.321 2.473 1.183 -2.699 33.2584709150614 5.97575171919632 6.98632702436835
rs1000778 11 61411881 0.258 99900 0.03139 0.005204 95454 0.02304 0.005623 100184 0.02426 0.00553 96598 -0.02624 0.005079 2 FADS1-2-3_TG:HDL:TC:LDL rs1000778 4.896 -4.29 -4.105 -5.66 69.0905055109861 13.4520310409035 7.81995159611215
rs1001878 20 38630696 0.349 98409 -0.001618 0.004768 93999 0.02607 0.005159 98656 0.03016 0.005079 95070 0.0117 0.004662 2 MAFB_TC:LDL rs1001878 2.519 5.696 4.956 -0.041 33.5618160097377 6.03790181283553 7.91132934315473
rs10022237 4 88447252 0.458 99900 0.008265 0.004587 95454 -0.001888 0.005015 100184 -0.01009 0.004905 96598 -0.02668 0.0045 2 KLHL8_TG rs10022237 5.449 2.34 0.788 -2.329 34.3407547790428 6.1976362049877 7.29538785397897
rs10023050 4 88283455 0.394 99900 0.02131 0.004638 95454 -0.01766 0.005025 100184 -0.01869 0.004949 96598 -0.03055 0.004554 2 KLHL8_TG rs10023050 6.554 3.891 3.563 -4.721 57.3423544769057 10.979399286533 10.2516881649223
rs1002687 1 62736325 0.323 99900 0.01491 0.004793 95454 0.04807 0.005212 100184 0.0722 0.005124 96598 0.06464 0.004701 2 ANGPTL3_TG:TC:LDL rs1002687 13.471 13.088 8.32 3.03 301.068726650517 63.1957322003633 40.6350618925778
rs10036890 5 156366229 0.194 99900 -0.001483 0.005741 95454 -0.03764 0.006216 100184 -0.04047 0.006121 96598 -0.02447 0.005603 2 TIMD4_TC:LDL:TG rs10036890 -4.094 -6.04 -5.585 -0.124 44.609196135065 8.31932224470696 8.8121572658
rs1003723 19 11085181 0.459 98409 -0.01311 0.004717 93999 0.04938 0.00517 98656 0.03701 0.005058 95070 0.005645 0.004632 2 LDLR_LDL:TC rs1003723 1.289 7.253 9.255 -2.684 91.3391594709826 18.1650125799295 19.6691188824497
